#hg38.kgXref.kgID	utr3_percentgc	utr5_percentgc	mrna_percentgc	utr3_length	utr5_length	mrna_length	utr3_energy	utr5_energy	gene_symbol
uc021udg.1	57.14285714285714	53.624627606752725	58.546785154208045	147	1007	1913	-56.3	-368.89	AANAT
uc002xfe.3	52.02020202020202	59.53757225433526	55.03904797322424	1188	346	2689	-425.35	-131.33	AAR2
uc003yof.4	42.329227323628224	62.22222222222222	46.93344932579382	1786	45	2299	-552.79	-10.8	AARD
uc002eyn.2	51.40845070422535	65.27777777777779	53.49439171699741	426	144	3477	-129.92	-55.7	AARS
uc010jza.2	51.399776035834265	0.0	59.3149974052932	893	3	3854	-318.24		AARS2
uc031raq.2	51.06382978723404	66.66666666666666	54.16036308623298	47	36	1322	-9.9	-12.1	AARSD1
uc003hbn.5	22.321428571428573	49.171270718232044	39.52646239554318	112	181	3590	-19.0	-54.8	AASDH
uc001pjc.2	32.16860787576262	68.91891891891892	38.44331641285956	1803	222	2955	-409.8	-114.4	AASDHPPT
uc003vkb.4	29.959514170040485	61.48148148148148	43.78754347138793	247	135	3163	-45.67	-48.5	AASS
uc002hni.3	58.93719806763285	69.7211155378486	53.339560952825785	207	251	2141	-70.12	-113.7	AATF
uc010dia.4	60.61427280939476	88.0	66.93931900323379	1107	25	5257	-511.42	-10.7	AATK
uc002czd.4	46.45468998410175	53.94456289978679	49.94629430719657	3145	938	5586	-1064.12	-333.6	ABAT
uc004bcl.4	34.07787503773015	60.75949367088608	45.45454545454545	3313	395	10494	-812.68	-164.41	ABCA1
uc010dfa.2	27.926829268292686	33.18681318681318	36.85947815152468	820	910	6362	-167.72	-213.9	ABCA10
uc002vew.3	40.65934065934066	45.909090909090914	42.61538461538461	1092	220	9100	-309.3	-60.6	ABCA12
uc003toq.2	35.90519415027736	66.66666666666666	41.113826815642454	1983	24	17184	-514.34	-4.1	ABCA13
uc064xhf.1	64.24501424501425	86.0	63.388317003596676	702	50	8063	-330.6	-23.6	ABCA2
uc002cpy.2	58.13366960907944	64.90727532097004	60.43274322893024	793	701	6609	-330.39	-289.7	ABCA3
uc001dqh.4	48.25	55.172413793103445	52.373785743603776	400	87	7309	-124.56	-31.0	ABCA4
uc002jig.3	28.17730936143831	58.46153846153847	33.11435523114355	3226	65	8220	-704.7	-22.0	ABCA5
uc002jhw.2	25.830258302583026	37.714285714285715	38.41509433962264	271	175	5300	-46.1	-34.2	ABCA6
uc002lqw.5	65.97222222222221	66.23376623376623	64.68603286384976	144	231	6816	-58.7	-102.5	ABCA7
uc010wqq.4	31.904161412358135	36.87150837988827	40.975442211918256	793	179	5823	-191.19	-31.1	ABCA8
uc002jhu.4	34.968465311843026	39.15094339622642	40.55879643844028	1427	212	6514	-339.15	-52.3	ABCA9
uc003uiz.3	28.385416666666668	51.196172248803826	43.44456404736275	384	418	4645	-75.0	-141.4	ABCB1
uc001htp.4	28.991859737006887	81.3953488372093	45.26834327197304	1597	43	3857	-358.29	-18.4	ABCB10
uc002ueo.2	42.10526315789473	43.2	44.90052356020943	684	125	4775	-207.4	-30.4	ABCB11
uc003uiv.2	19.148936170212767	78.57142857142857	45.79601990049751	47	112	4020	0.0	-53.9	ABCB4
uc010kuh.4	36.67870036101083	39.7239263803681	40.64704870073997	1385	652	5811	-367.99	-148.64	ABCB5
uc002vkc.3	45.294117647058826	74.13249211356468	59.217506631299734	170	317	3016	-48.3	-163.5	ABCB6
uc010nls.4	26.262626262626267	52.94117647058824	43.23089700996678	198	68	2408	-35.0	-7.72	ABCB7
uc003wik.6	57.99424578709412	61.29032258064516	60.36728592782404	2433	93	4683	-1035.78	-41.3	ABCB8
uc001udm.5	59.73884657236126	69.02356902356902	61.956212681262436	919	297	3517	-390.2	-115.9	ABCB9
uc010bvi.4	47.894441325098256	87.42857142857143	54.990842490842496	1781	175	6552	-594.67	-87.9	ABCC1
uc003ouz.1	49.700598802395206	41.78272980501393	58.74606918238994	334	359	5088	-100.17	-103.1	ABCC10
uc002eff.1	44.352617079889804	49.42857142857143	51.54257507198684	363	350	4862	-99.6	-111.29	ABCC11
uc002efc.1	44.339622641509436	49.71098265895954	49.593653250774	742	346	5168	-227.9	-100.5	ABCC12
uc001kqf.3	33.68983957219251	36.283185840707965	45.74548192771085	561	113	5312	-116.8	-15.2	ABCC2
uc002isl.4	45.43726235741445	82.5	55.843247025892225	1052	80	5716	-321.74	-35.0	ABCC3
uc001vmd.5	35.4524627720504	80.0	42.47302620311697	1746	115	5839	-435.12	-51.5	ABCC4
uc003fmg.4	47.14494875549048	61.41078838174274	50.836007431177165	1366	241	5921	-434.37	-103.0	ABCC5
uc032enb.3	51.11478117258464	73.33333333333333	58.665044324700155	1211	30	5753	-406.7	-2.4	ABCC6
uc031xgt.2	45.714285714285715	84.05797101449275	57.78996546821043	105	69	4923	-13.8	-36.4	ABCC8
uc001rfh.4	32.80263519077683	0.0	38.49029301820813	3643	3	8293	-854.16		ABCC9
uc004fif.2	66.79649464459591	69.17293233082707	65.82969432314411	1027	399	3664	-413.93	-193.11	ABCD1
uc001rmb.3	29.62103634957463	41.911764705882355	34.30586726514909	3879	136	6238	-867.23	-26.3	ABCD2
uc001dqn.5	31.8122555410691	75.0	37.676653476540416	1534	24	3538	-366.39	-10.1	ABCD3
uc001xpr.3	41.42581888246628	65.97222222222221	51.48185148185148	1038	144	3003	-293.79	-53.8	ABCD4
uc003ijy.4	31.94271481942715	57.0873786407767	38.434072940576385	1606	515	3921	-355.42	-180.8	ABCE1
uc003nql.4	48.13477737665463	73.21428571428571	52.88710140764148	831	112	3481	-273.3	-51.3	ABCF1
uc003wjp.5	52.74936061381074	61.81818181818181	52.22786238014664	1564	110	3546	-594.9	-36.9	ABCF2
uc003fmz.3	59.54692556634305	70.8108108108108	57.85060975609756	309	185	2624	-120.2	-88.5	ABCF3
uc002zan.3	45.18779342723005	46.15384615384615	52.93363257454312	852	260	3119	-262.01	-67.48	ABCG1
uc003hrg.4	33.842239185750635	61.72161172161172	41.23688323286448	1965	546	4479	-462.16	-228.5	ABCG2
uc031yhk.2	57.98319327731093	77.1978021978022	59.865005192108	1547	364	3852	-630.77	-206.0	ABCG4
uc002rtn.3	42.08074534161491	64.28571428571429	50.07299270072993	644	140	2740	-180.81	-58.9	ABCG5
uc002rtq.3	50.45207956600362	63.33333333333333	55.68480300187617	553	90	2665	-191.3	-36.1	ABCG8
uc002rit.4	36.76470588235294	72.80701754385966	56.85714285714286	68	114	1400	-6.5	-52.2	ABHD1
uc003dyk.6	32.15590742996346	62.96296296296296	37.6061776061776	1642	27	2590	-416.59	-4.4	ABHD10
uc003tzb.4	52.04301075268817	65.71428571428571	59.13688469318949	465	70	1483	-162.8	-15.0	ABHD11
uc002wus.3	60.89644513137558	79.48717948717949	59.75436939064714	647	273	2117	-260.12	-162.4	ABHD12
uc001wys.3	40.562913907284766	0.0	45.31615925058548	604	3	1708	-152.6		ABHD12B
uc001vqq.4	30.350484712900823	70.43189368770764	34.09516672911202	4023	301	5338	-964.49	-151.9	ABHD13
uc003dco.4	56.74157303370787	80.88235294117648	62.52354048964218	178	68	1062	-65.3	-35.7	ABHD14A
uc003dcm.4	53.90625	59.16955017301038	57.86578657865786	896	289	1818	-319.89	-95.2	ABHD14B
uc002hed.3	47.16981132075472	81.28654970760235	56.62583518930958	2014	171	3592	-679.65	-97.2	ABHD15
uc011fgc.2	41.44486692015209	54.75409836065573	56.24417520969245	263	305	2146	-67.86	-81.1	ABHD16A
uc002ygx.3	57.89473684210527	79.06976744186046	69.88598256203889	38	43	1491	-7.0	-21.4	ABHD16B
uc002lug.4	61.282051282051285	79.03225806451613	68.81047239612977	390	434	1757	-154.52	-258.8	ABHD17A
uc004aim.2	32.90519877675841	74.10714285714286	37.52869166029074	1635	112	2614	-389.94	-53.2	ABHD17B
uc002bfu.4	36.21103117505996	83.46456692913385	49.95777027027027	1251	127	2368	-309.6	-58.5	ABHD17C
uc021xrt.2	38.925081433224754	64.15094339622641	43.959577400091874	614	318	2177	-162.74	-149.9	ABHD18
uc002bnk.2	45.88438806400461	57.88461538461539	47.63594733829422	6937	520	8735	-2286.6	-196.1	ABHD2
uc002ktl.2	27.089337175792505	79.28571428571428	42.10271317829458	694	140	2064	-135.5	-65.2	ABHD3
uc001wgm.4	51.43361270401412	68.57142857142857	52.91146761734997	2267	70	3366	-783.55	-28.7	ABHD4
uc003cmx.4	30.947775628626694	74.79674796747967	43.19526627218935	517	123	1690	-95.32	-72.0	ABHD5
uc003djs.4	44.89164086687307	71.21951219512195	52.152110321771836	969	410	2393	-277.21	-216.8	ABHD6
uc002ngb.4	68.49056603773585	75.0	66.45933014354067	530	240	2090	-239.5	-123.2	ABHD8
uc001itb.3	30.69908814589666	62.94642857142857	39.116291677961506	1974	224	3689	-466.89	-76.3	ABI1
uc061rps.1	38.962655601659755	73.91304347826086	42.90448930400723	4820	276	6638	-1372.71	-140.7	ABI2
uc002iop.1	55.09803921568628	62.44979919678715	61.87766714082503	510	498	2109	-195.7	-214.5	ABI3
uc003dun.4	28.620689655172416	60.909090909090914	41.529568697198755	1160	110	4498	-224.07	-29.2	ABI3BP
uc004bzw.4	57.27911646586345	81.10236220472441	59.88553590010406	1992	381	5766	-806.27	-230.2	ABL1
uc001gmj.5	41.73519246812061	73.52941176470588	45.29808959156785	8391	204	12144	-2587.82	-94.3	ABL2
uc057wcs.1	43.151350301146294	56.730769230769226	45.85583153347732	5147	104	7408	-1583.61	-35.4	ABLIM1
uc003gkp.4	56.13825983313468	81.14754098360656	58.21554770318021	1678	122	3396	-667.81	-71.1	ABLIM2
uc003lpz.2	48.55036855036855	65.35269709543569	53.403370540599695	2035	482	4569	-679.18	-218.2	ABLIM3
uc033djz.1	54.08163265306123	76.0	59.28979074191503	490	25	1577	-77.4	-4.7	ABO
uc002fse.5	57.265961613787695	62.33333333333333	57.37265415549599	2553	600	5595	-1077.52	-261.8	ABR
uc003ymm.5	31.66023166023166	52.72727272727272	41.633393829401086	1554	55	2755	-373.87	-8.8	ABRA
uc003qil.2	29.57393483709273	61.5	40.11834319526627	399	200	845	-85.2	-60.41	ABRACL
uc003nii.4	40.352548832777515	64.51612903225806	46.456425907087144	2099	31	2949	-602.3	-5.4	ABT1
uc003ejt.4	61.085972850678736	74.4186046511628	62.54452926208651	442	86	1965	-208.9	-41.1	ABTB1
uc001mvl.3	53.609721229449605	69.41176470588235	60.68951448388413	1399	425	4902	-541.21	-217.01	ABTB2
uc002dhv.4	42.02127659574468	63.63636363636363	47.72226304188097	188	209	2722	-54.04	-88.5	AC004381.6
uc061tio.1	0.0	0.0	47.482014388489205	3	3	1668			AC009950.1
uc032jll.2	52.85714285714286	60.71428571428571	59.49367088607595	70	56	711	-17.3	-12.2	AC012314.2
uc032itf.2	52.85714285714286	60.71428571428571	59.49367088607595	70	56	711	-17.3	-12.2	AC012314.3
uc032jdr.2	52.85714285714286	60.71428571428571	59.49367088607595	70	56	711	-17.3	-12.2	AC012314.5
uc032jza.2	52.85714285714286	60.71428571428571	59.49367088607595	70	56	711	-17.3	-12.2	AC012314.6
uc032izl.2	52.85714285714286	60.71428571428571	59.49367088607595	70	56	711	-17.3	-12.2	AC012314.7
uc032jhu.2	52.85714285714286	60.71428571428571	59.49367088607595	70	56	711	-17.3	-12.2	AC012314.9
uc002uhy.4	37.250712250712255	65.64102564102564	39.42053210753586	5616	195	7179	-1549.41	-75.9	AC013461.1
uc058rrh.1	0.0	0.0	40.893470790378004	3	3	291			AC123512.1
uc058rri.1	0.0	0.0	39.14728682170542	3	3	258			AC123512.2
uc284ngi.1	0.0	0.0	43.39080459770115	3	3	348			AC123512.3
uc032dim.2	39.3841166936791	59.09822866344605	47.01273261508325	617	621	2042	-151.9	-232.7	AC243687.1
uc003cht.4	49.554896142433236	63.58381502890174	58.4873949579832	337	173	1785	-107.0	-71.1	ACAA1
uc002ldw.5	39.76190476190476	64.70588235294117	45.582089552238806	1680	476	3350	-416.97	-210.52	ACAA2
uc032ghn.3	49.61340206185567	62.03319502074689	48.71511744629593	2328	482	9962	-795.25	-201.91	ACACA
uc001toc.4	50.56421278882321	0.0	54.79615010273602	1861	3	9247	-689.1		ACACB
uc009zvx.4	56.19967793880838	63.84180790960452	54.507492016703516	621	177	4071	-245.8	-73.1	ACAD10
uc003eov.5	42.20072551390569	62.757201646090536	48.33413809753742	827	972	4142	-241.0	-400.49	ACAD11
uc001qhk.4	42.12290502793296	67.9245283018868	50.86705202312138	895	106	2249	-270.85	-44.5	ACAD8
uc003ela.5	50.69033530571993	60.49382716049383	53.259983700081506	507	81	2454	-175.32	-24.5	ACAD9
uc002vdz.5	31.898238747553815	66.22807017543859	41.132520644907586	1022	228	2543	-214.4	-91.8	ACADL
uc001dgw.6	26.965065502183407	70.70938215102976	40.969835815196646	916	437	2619	-187.78	-198.3	ACADM
uc001tza.5	66.25	77.48344370860927	64.61538461538461	560	151	1950	-285.5	-71.2	ACADS
uc001lhb.4	37.637483501979766	0.0	38.863287250384026	4546	3	5859	-1227.55		ACADSB
uc002gev.5	53.40909090909091	71.50837988826815	58.588032716315105	176	179	2323	-47.0	-81.0	ACADVL
uc010upo.1	52.80641466208477	69.5187165775401	57.647058823529406	873	374	8840	-323.85	-178.3	ACAN
uc002ggd.3	73.49397590361446	66.50485436893204	61.146496815286625	83	206	2512	-23.7	-83.7	ACAP1
uc003fun.5	33.23170731707317	74.89177489177489	37.45810055865922	4592	231	7160	-1136.82	-114.6	ACAP2
uc001aeb.3	66.24579124579124	84.23645320197043	65.99075975359344	1188	203	3896	-546.02	-125.1	ACAP3
uc001pjy.4	30.05181347150259	73.62637362637363	42.58943781942078	386	91	1761	-79.1	-38.6	ACAT1
uc010kjy.4	30.08849557522124	54.26136363636363	50.157232704402524	226	1760	3180	-33.16	-672.55	ACAT2
uc001hpy.4	32.93630243397204	67.27272727272727	41.78561432969494	1931	55	3573	-470.97	-17.8	ACBD3
uc010wjj.3	62.335216572504706	63.11300639658849	61.84600197433367	531	469	2026	-230.46	-200.7	ACBD4
uc010qdm.4	34.4920993227991	69.17098445595855	41.86436616343158	2215	386	4173	-560.34	-198.8	ACBD5
uc001gog.4	35.338345864661655	69.04069767441861	56.107784431137716	133	688	1670	-23.83	-325.92	ACBD6
uc001inv.4	42.70109235352532	66.66666666666666	43.64599092284418	1007	48	1322	-329.0	-7.7	ACBD7
uc001mxx.3	48.34123222748815	64.74654377880185	56.731583403895	422	434	2362	-135.22	-168.0	ACCS
uc001mxw.1	61.40350877192983	53.57142857142857	51.868131868131876	57	56	1820	-7.4	-13.5	ACCSL
uc002etq.5	48.38709677419355	58.160237388724035	62.61501210653753	93	337	2065	-24.1	-131.3	ACD
uc002jau.4	60.15779092702169	79.16666666666666	60.354910264166165	1014	24	4959	-417.75	-3.8	ACE
uc004cxb.2	38.18807339449541	45.16129032258064	41.91616766467065	872	217	3507	-221.09	-61.14	ACE2
uc002mel.3	55.59440559440559	67.94871794871796	56.26297577854671	572	78	1445	-217.24	-30.3	ACER1
uc003zny.2	44.94219653179191	69.23076923076923	47.899910634495086	1384	26	2238	-403.96	-12.5	ACER2
uc009yum.2	37.57341576506955	83.65384615384616	38.655462184873954	6470	104	7378	-1931.69	-54.0	ACER3
uc003uxe.5	61.6822429906542	81.29496402877699	65.08795669824087	963	139	2956	-342.96	-79.6	ACHE
uc001wit.5	49.74182444061962	54.57317073170732	53.43465045592705	581	328	4935	-207.93	-108.92	ACIN1
uc001fto.4	42.0	54.34462444771723	56.20689655172414	50	679	1740	-2.0	-190.7	ACKR1
uc003cme.4	48.09348093480935	52.0	50.37212449255751	1626	175	2956	-479.9	-48.3	ACKR2
uc002vwd.4	36.81592039800995	57.41935483870968	49.25102133454381	804	310	2203	-239.17	-111.1	ACKR3
uc003eow.5	31.241830065359476	41.66666666666667	37.35632183908046	765	96	1914	-163.27	-22.4	ACKR4
uc002hyg.4	39.24611973392461	66.41221374045801	52.1548743950219	902	131	4339	-237.74	-57.5	ACLY
uc002ttz.4	25.287356321839084	44.85294117647059	45.722937168811505	174	136	1321	-29.3	-29.0	ACMSD
uc003zqw.5	43.92443108630314	72.46376811594203	45.713903027055984	4658	138	7466	-1496.39	-57.5	ACO1
uc003bac.3	49.202127659574465	40.909090909090914	56.07442539219263	376	22	2741	-104.8	-0.4	ACO2
uc001xol.2	33.81294964028777	55.84415584415584	58.260361938120255	139	308	1713	-20.6	-121.1	ACOT1
uc001cxm.3	45.03697064754649	65.85365853658537	49.59962317475271	4463	82	6369	-1764.89	-28.9	ACOT11
uc003khl.5	33.933161953727506	79.3103448275862	44.77468839884947	389	29	2086	-89.4	-10.6	ACOT12
uc010jpv.4	40.08695652173913	49.40374787052811	41.58506035071738	3450	587	4391	-971.86	-189.6	ACOT13
uc001xon.6	31.428571428571427	53.2967032967033	57.21533258173619	140	182	1774	-22.1	-57.0	ACOT2
uc001xoo.4	42.39904988123516	67.32283464566929	53.21761219305673	842	254	2362	-241.6	-114.56	ACOT4
uc001xop.3	32.6530612244898	45.01510574018127	43.12749003984064	49	331	1004	-0.2	-93.7	ACOT6
uc001amq.4	52.160493827160494	59.118236472945895	58.35631549917264	324	499	1813	-103.3	-230.7	ACOT7
uc002xqa.3	52.13675213675214	58.24175824175825	59.67465753424658	117	91	1168	-34.0	-43.6	ACOT8
uc004dao.4	46.61791590493601	68.9922480620155	46.93615656079564	1641	129	3117	-560.68	-52.2	ACOT9
uc002jqe.5	41.48063346689563	71.37931034482759	44.75645461804631	5241	290	7514	-1829.84	-142.19	ACOX1
uc003dkl.4	30.681818181818183	59.93150684931506	54.534212695795546	88	292	2426	-7.9	-123.0	ACOX2
uc003glc.5	45.21354933726068	57.692307692307686	53.70629370629371	679	78	2860	-195.2	-25.3	ACOX3
uc010yxk.1	66.25615763546799	67.85714285714286	56.342182890855455	406	224	2373	-183.67	-98.9	ACOXL
uc002qwg.4	39.325842696629216	78.125	43.04123711340206	979	96	1552	-271.6	-56.3	ACP1
uc001nei.3	54.42260442260442	60.68376068376068	57.64866091693146	814	117	2203	-313.8	-43.9	ACP2
uc060tuu.1	57.861635220125784	68.73449131513648	60.62389640965273	318	403	1699	-136.6	-203.5	ACP5
uc001epr.3	42.251349267540476	62.5	45.52939477105301	5188	448	6923	-1416.67	-193.7	ACP6
uc010htp.3	40.76840981856991	45.55555555555556	43.424	1874	90	3125	-564.51	-13.9	ACPP
uc002pta.1	59.09090909090909	0.0	67.11210096510764	66	3	1347	-11.7		ACPT
uc003bnh.5	33.85826771653544	62.5	55.268667131891135	127	40	1433	-27.6	-11.2	ACR
uc001qpu.2	53.62318840579711	75.53191489361703	56.07863424728401	207	94	1933	-64.08	-40.1	ACRBP
uc004eae.3	35.77371048252912	63.1578947368421	46.36331064134719	601	114	2791	-143.55	-41.42	ACRC
uc001qcs.4	38.095238095238095	42.27405247813411	41.99819168173599	1071	343	2212	-239.39	-103.8	ACRV1
uc002bdh.4	40.87022132796781	49.029126213592235	46.90891930155734	3976	206	6357	-1139.8	-54.9	ACSBG1
uc002meg.3	44.37229437229438	57.971014492753625	48.30230010952902	462	276	2739	-120.4	-108.9	ACSBG2
uc010wmm.3	55.08771929824562	58.139534883720934	56.419369169258104	285	43	2251	-95.3	-8.5	ACSF2
uc021tmq.2	59.42647956070775	70.86614173228347	61.29032258064516	1639	381	3751	-646.01	-176.86	ACSF3
uc011ckm.3	39.37213865271419	48.68686868686869	45.08895929807458	1529	990	4103	-409.54	-333.44	ACSL1
uc002vni.4	31.85929648241206	63.088512241054616	38.07008276104948	2985	531	5679	-703.86	-233.63	ACSL3
uc004eoi.3	30.75780089153046	56.03960396039604	37.427339208700545	2692	505	5333	-633.87	-170.58	ACSL4
uc001kzt.4	37.414299706170425	52.76872964169381	44.79289940828403	1021	307	3380	-245.04	-99.5	ACSL5
uc003kvy.3	33.959164515371974	87.1559633027523	40.786052913289495	4261	109	6539	-1198.51	-70.7	ACSL6
uc002dhm.1	44.17670682730924	52.94117647058824	51.38956606533398	249	68	2051	-64.7	-15.4	ACSM1
uc002dhg.5	37.51263902932255	54.385964912280706	46.774762072611914	989	114	2837	-209.37	-38.6	ACSM2A
uc002dhk.5	37.5968992248062	53.25443786982249	46.50766609880749	1032	169	2935	-228.44	-57.9	ACSM2B
uc002dhr.4	26.436781609195403	45.89473684210526	40.03514938488576	609	475	2845	-112.75	-114.2	ACSM3
uc001qsx.2	29.629629629629626	45.83333333333333	45.751633986928105	351	48	2142	-68.3	-9.4	ACSM4
uc002dhe.4	39.49394939493949	52.38095238095239	50.35765379113018	909	147	2796	-242.69	-55.3	ACSM5
uc001kke.4	34.72222222222222	47.199999999999996	48.53971962616823	144	125	1712	-30.1	-25.15	ACSM6
uc002wub.4	50.588235294117645	72.5	56.711956521739125	1530	80	3680	-567.09	-32.9	ACSS1
uc002xbd.3	50.26737967914438	66.35071090047393	54.55138662316477	748	211	3065	-255.83	-59.9	ACSS2
uc001szl.2	32.32532229826516	51.098901098901095	37.65939053382321	6283	910	9254	-1527.2	-296.95	ACSS3
uc001htm.4	44.09448818897638	65.0485436893204	58.95372233400402	254	103	1491	-66.5	-30.1	ACTA1
uc001kfq.4	40.136054421768705	69.26315789473684	56.32118451025057	147	475	1756	-22.2	-195.4	ACTA2
uc003sot.5	42.211055276381906	72.39583333333334	56.02503912363067	597	192	1917	-152.7	-83.7	ACTB
uc003jrm.3	30.36515054452274	46.07843137254902	40.1932712956335	1561	102	2794	-330.76	-14.75	ACTBL2
uc001ziu.2	38.60103626943005	66.15853658536585	47.29663906478324	2316	656	4106	-665.07	-292.56	ACTC1
uc002kak.3	43.3048433048433	74.4186046511628	55.89410589410589	702	172	2002	-222.1	-73.7	ACTG1
uc002sjw.4	41.03448275862069	54.12844036697248	52.156862745098046	290	109	1530	-70.7	-18.5	ACTG2
uc002wzt.3	56.20689655172414	67.7	66.46942800788955	290	1000	2028	-120.9	-502.1	ACTL10
uc003fjw.4	28.894472361809044	62.441314553990615	42.556549184639664	398	213	1901	-69.55	-90.3	ACTL6A
uc003uvy.4	46.97986577181208	74.76635514018692	59.33636955107352	149	107	1537	-18.14	-49.4	ACTL6B
uc004bdj.3	59.68992248062015	49.122807017543856	57.095046854082995	129	57	1494	-47.2	-12.9	ACTL7A
uc004bdi.4	46.808510638297875	50.72324011571842	57.965531736023536	94	1037	2379	-17.2	-369.03	ACTL7B
uc001bat.3	49.81617647058824	57.870370370370374	56.52874798495433	544	216	1861	-199.9	-83.2	ACTL8
uc032hly.2	70.37037037037037	68.59504132231406	66.26928471248247	54	121	1426	-19.9	-31.7	ACTL9
uc001xkl.4	40.502793296089386	70.3125	55.59671870865308	716	384	3779	-187.93	-166.1	ACTN1
uc001hyg.4	36.231884057971016	54.7550432276657	47.579854987262394	2001	1041	5103	-517.76	-349.8	ACTN2
uc031xsh.2	54.88721804511278	59.48275862068966	59.50064850843061	133	116	3084	-40.8	-30.6	ACTN3
uc002oja.3	55.927475592747555	80.26315789473685	58.59359258512996	2151	76	4963	-847.16	-25.9	ACTN4
uc001xdf.4	34.74654377880184	70.0	39.89251756924349	1085	80	2419	-268.95	-25.3	ACTR10
uc001kvv.4	56.42594859241126	65.625	55.037115588547195	1634	64	2829	-651.08	-20.1	ACTR1A
uc002syb.3	56.64804469273743	80.18433179723502	59.51850200624163	895	217	2243	-381.12	-125.6	ACTR1B
uc002sdq.4	34.10083366415244	67.51592356687898	38.07303807303807	2519	157	3861	-640.17	-65.3	ACTR2
uc002tkx.3	32.19218050962848	67.5	35.710032747841616	5141	320	6718	-1221.47	-142.3	ACTR3
uc003wle.3	41.57575757575758	84.32835820895522	48.601083032490976	825	134	2216	-217.81	-78.3	ACTR3B
uc003wgu.3	41.265822784810126	50.0	45.320197044334975	395	190	1218	-104.92	-64.3	ACTR3C
uc002xjd.3	45.88068181818182	78.37837837837837	53.138401559454195	704	37	2565	-223.64	-12.3	ACTR5
uc001thb.3	31.10236220472441	52.41830065359478	40.13798701298701	508	765	2464	-111.32	-261.5	ACTR6
uc003dhd.4	39.32244404113733	71.28712871287128	44.28217139707908	1653	101	3629	-489.6	-46.4	ACTR8
uc004eum.4	42.10526315789473	43.75	48.782185107863604	114	192	1437	-28.5	-49.33	ACTRT1
uc001ajz.4	57.831325301204814	63.725490196078425	61.50598170302604	83	204	1421	-28.8	-83.0	ACTRT2
uc003ffs.3	36.399217221135025	61.06666666666667	49.02743142144638	511	375	2005	-136.52	-158.1	ACTRT3
uc002tzn.4	37.074517019319224	51.86046511627907	44.60124712832294	1087	430	3047	-276.85	-138.0	ACVR1
uc001rzn.4	51.41509433962265	87.01298701298701	52.85996055226825	2968	77	4563	-1102.62	-45.0	ACVR1B
uc002tzk.5	31.855684519647603	79.50138504155125	36.057371581054035	7151	361	8994	-1665.14	-234.5	ACVR1C
uc002twh.5	33.605633802816904	57.23270440251572	38.66969273743017	3550	636	5728	-847.29	-247.85	ACVR2A
uc003cif.4	41.906218144750255	79.44915254237289	45.68141443194315	9810	472	11821	-3062.1	-258.3	ACVR2B
uc001rzj.4	64.77272727272727	72.79151943462897	63.267376966007106	176	283	1971	-79.3	-148.51	ACVRL1
uc003dcp.4	61.97183098591549	71.23287671232876	60.24930747922438	71	146	1444	-13.19	-73.0	ACY1
uc001omq.3	55.02958579881657	66.08187134502924	61.76923076923077	169	171	1300	-43.4	-65.8	ACY3
uc059dmk.1	27.053140096618357	64.58333333333334	48.41571609632446	207	192	789	-35.3	-84.31	ACYP1
uc002rxq.5	26.305220883534137	74.87179487179488	41.591137965760325	498	195	993	-92.9	-85.0	ACYP2
