#hg38.kgXref.kgID	utr3_percentgc	utr5_percentgc	mrna_percentgc	utr3_length	utr5_length	mrna_length	utr3_energy	utr5_energy	gene_symbol	logFC
uc003djs.4	44.891640866873075	71.21951219512195	52.15211032177184	969	410	2393	-277.21	-216.8	ABHD6	-0.23756372436138398
uc002ngb.4	68.49056603773586	75.0	66.45933014354067	530	240	2090	-239.5	-123.2	ABHD8	-0.370636763900266
uc001itb.3	30.69908814589666	62.94642857142857	39.116291677961506	1974	224	3689	-466.89	-76.3	ABI1	-0.0103963396765607
uc061rps.1	38.962655601659755	73.91304347826086	42.90448930400723	4820	276	6638	-1372.71	-140.7	ABI2	0.8365829817532091
uc003dun.4	28.620689655172416	60.90909090909091	41.529568697198755	1160	110	4498	-224.07	-29.2	ABI3BP	1.45942607254389
uc004bzw.4	57.27911646586346	81.1023622047244	59.88553590010407	1992	381	5766	-806.27	-230.2	ABL1	0.7101428885117359
uc001gmj.5	41.73519246812061	73.52941176470588	45.29808959156785	8391	204	12144	-2587.82	-94.3	ABL2	-0.7101861626468999
uc057wcs.1	43.15135030114629	56.73076923076921	45.855831533477314	5147	104	7408	-1583.61	-35.4	ABLIM1	0.44272196500257394
uc003lpz.2	48.550368550368546	65.35269709543569	53.4033705405997	2035	482	4569	-679.18	-218.2	ABLIM3	0.144713326229528
uc002fse.5	57.265961613787695	62.33333333333333	57.372654155495994	2553	600	5595	-1077.52	-261.8	ABR	-0.0907366305215183
uc003nii.4	40.35254883277752	64.51612903225806	46.456425907087144	2099	31	2949	-602.3	-5.4	ABT1	-0.453377938761847
uc003ejt.4	61.085972850678736	74.4186046511628	62.544529262086506	442	86	1965	-208.9	-41.1	ABTB1	-0.18414242078099102
uc001mvl.3	53.609721229449605	69.41176470588235	60.68951448388413	1399	425	4902	-541.21	-217.01	ABTB2	0.49259132889780105
uc003cht.4	49.55489614243324	63.58381502890174	58.487394957983206	337	173	1785	-107.0	-71.1	ACAA1	0.13744594429282
uc002ldw.5	39.76190476190476	64.70588235294117	45.58208955223882	1680	476	3350	-416.97	-210.52	ACAA2	0.106320437654625
uc032ghn.3	49.613402061855666	62.03319502074689	48.71511744629593	2328	482	9962	-795.25	-201.91	ACACA	0.566380873464405
uc009zvx.4	56.199677938808385	63.84180790960452	54.50749201670352	621	177	4071	-245.8	-73.1	ACAD10	0.35091130763028006
uc001qhk.4	42.12290502793296	67.9245283018868	50.86705202312139	895	106	2249	-270.85	-44.5	ACAD8	0.33219964092909005
uc003ela.5	50.69033530571993	60.49382716049383	53.25998370008151	507	81	2454	-175.32	-24.5	ACAD9	0.0260577394534698
uc001dgw.6	26.96506550218341	70.70938215102977	40.969835815196646	916	437	2619	-187.78	-198.3	ACADM	-0.0156690106604644
uc001tza.5	66.25	77.48344370860927	64.61538461538461	560	151	1950	-285.5	-71.2	ACADS	0.7334375330621641
uc002gev.5	53.40909090909091	71.50837988826815	58.588032716315105	176	179	2323	-47.0	-81.0	ACADVL	-0.45071491135871594
uc003fun.5	33.23170731707317	74.89177489177489	37.45810055865922	4592	231	7160	-1136.82	-114.6	ACAP2	0.40426045165545293
uc001aeb.3	66.24579124579124	84.23645320197043	65.99075975359344	1188	203	3896	-546.02	-125.1	ACAP3	-0.283562371657185
uc001pjy.4	30.05181347150259	73.62637362637362	42.58943781942078	386	91	1761	-79.1	-38.6	ACAT1	0.75753349133338
uc010kjy.4	30.088495575221238	54.26136363636363	50.15723270440253	226	1760	3180	-33.16	-672.55	ACAT2	0.151818053142278
uc001hpy.4	32.93630243397204	67.27272727272727	41.78561432969494	1931	55	3573	-470.97	-17.8	ACBD3	-0.428346953451669
uc010wjj.3	62.33521657250471	63.11300639658849	61.84600197433367	531	469	2026	-230.46	-200.7	ACBD4	-0.8107385276900659
uc010qdm.4	34.4920993227991	69.17098445595855	41.864366163431576	2215	386	4173	-560.34	-198.8	ACBD5	-0.0528819074500362
uc001gog.4	35.33834586466165	69.04069767441861	56.107784431137716	133	688	1670	-23.83	-325.92	ACBD6	-0.17868368341213398
uc001inv.4	42.70109235352532	66.66666666666666	43.645990922844184	1007	48	1322	-329.0	-7.7	ACBD7	-0.5862247733610539
uc002etq.5	48.387096774193544	58.16023738872404	62.615012106537534	93	337	2065	-24.1	-131.3	ACD	0.0443243561832753
uc009yum.2	37.57341576506955	83.65384615384616	38.655462184873954	6470	104	7378	-1931.69	-54.0	ACER3	-0.0486464823453101
uc001wit.5	49.741824440619624	54.57317073170732	53.43465045592705	581	328	4935	-207.93	-108.92	ACIN1	0.35182029356101496
uc002hyg.4	39.24611973392461	66.41221374045801	52.1548743950219	902	131	4339	-237.74	-57.5	ACLY	0.280299255631799
uc003zqw.5	43.92443108630314	72.46376811594203	45.71390302705598	4658	138	7466	-1496.39	-57.5	ACO1	0.0833534656393349
uc003bac.3	49.20212765957447	40.90909090909091	56.07442539219263	376	22	2741	-104.8	-0.4	ACO2	0.520222067848119
uc010jpv.4	40.08695652173913	49.40374787052811	41.585060350717384	3450	587	4391	-971.86	-189.6	ACOT13	-0.563657704006614
uc001xon.6	31.42857142857143	53.2967032967033	57.215332581736185	140	182	1774	-22.1	-57.0	ACOT2	-0.640461227853679
uc001xoo.4	42.39904988123516	67.32283464566929	53.21761219305672	842	254	2362	-241.6	-114.56	ACOT4	0.56412515350902
uc001amq.4	52.1604938271605	59.1182364729459	58.35631549917264	324	499	1813	-103.3	-230.7	ACOT7	-0.145416601528461
uc002xqa.3	52.136752136752136	58.24175824175825	59.67465753424658	117	91	1168	-34.0	-43.6	ACOT8	-0.19974511596294
uc004dao.4	46.617915904936005	68.99224806201549	46.93615656079564	1641	129	3117	-560.68	-52.2	ACOT9	-0.162937933512376
uc002jqe.5	41.48063346689563	71.3793103448276	44.75645461804631	5241	290	7514	-1829.84	-142.19	ACOX1	-0.16255455556999598
uc003dkl.4	30.681818181818183	59.93150684931506	54.53421269579554	88	292	2426	-7.9	-123.0	ACOX2	-0.376800652349014
uc003glc.5	45.21354933726067	57.69230769230769	53.70629370629371	679	78	2860	-195.2	-25.3	ACOX3	0.8923311426590091
uc002qwg.4	39.325842696629216	78.125	43.04123711340206	979	96	1552	-271.6	-56.3	ACP1	-0.398042145510484
uc001nei.3	54.422604422604415	60.68376068376068	57.648660916931455	814	117	2203	-313.8	-43.9	ACP2	-0.12269035785561999
uc001epr.3	42.251349267540476	62.5	45.529394771053006	5188	448	6923	-1416.67	-193.7	ACP6	-0.32338755971133
uc010wmm.3	55.087719298245624	58.139534883720934	56.4193691692581	285	43	2251	-95.3	-8.5	ACSF2	0.7183090801990999
uc021tmq.2	59.42647956070775	70.86614173228347	61.29032258064516	1639	381	3751	-646.01	-176.86	ACSF3	0.154326537156974
uc011ckm.3	39.372138652714185	48.686868686868685	45.08895929807458	1529	990	4103	-409.54	-333.44	ACSL1	1.22771039849878
uc002vni.4	31.859296482412056	63.08851224105462	38.07008276104948	2985	531	5679	-703.86	-233.63	ACSL3	-0.171451851244594
uc004eoi.3	30.75780089153046	56.03960396039604	37.427339208700545	2692	505	5333	-633.87	-170.58	ACSL4	-0.192187672902309
uc001kzt.4	37.41429970617042	52.76872964169381	44.792899408284036	1021	307	3380	-245.04	-99.5	ACSL5	0.360423661218419
uc002wub.4	50.58823529411765	72.5	56.71195652173913	1530	80	3680	-567.09	-32.9	ACSS1	2.2040187410949703
uc002xbd.3	50.26737967914438	66.35071090047393	54.55138662316478	748	211	3065	-255.83	-59.9	ACSS2	0.511272513365269
uc001szl.2	32.325322298265164	51.0989010989011	37.659390533823206	6283	910	9254	-1527.2	-296.95	ACSS3	1.0038653763332
uc003sot.5	42.211055276381906	72.39583333333334	56.02503912363068	597	192	1917	-152.7	-83.7	ACTB	0.241074065178243
uc002kak.3	43.304843304843295	74.4186046511628	55.89410589410589	702	172	2002	-222.1	-73.7	ACTG1	0.115537512132002
uc002sjw.4	41.03448275862068	54.12844036697248	52.156862745098046	290	109	1530	-70.7	-18.5	ACTG2	-5.1057054541200095
uc003fjw.4	28.894472361809047	62.44131455399062	42.556549184639664	398	213	1901	-69.55	-90.3	ACTL6A	-0.0484450118539357
uc001xkl.4	40.50279329608938	70.3125	55.59671870865308	716	384	3779	-187.93	-166.1	ACTN1	-0.00541497032435956
uc002oja.3	55.92747559274756	80.26315789473685	58.593592585129954	2151	76	4963	-847.16	-25.9	ACTN4	0.0450861085116934
uc001xdf.4	34.74654377880184	70.0	39.892517569243495	1085	80	2419	-268.95	-25.3	ACTR10	-0.0137399916214429
uc001kvv.4	56.42594859241126	65.625	55.0371155885472	1634	64	2829	-651.08	-20.1	ACTR1A	-0.105649858193611
uc002syb.3	56.64804469273743	80.18433179723502	59.51850200624163	895	217	2243	-381.12	-125.6	ACTR1B	0.224961224521022
uc002sdq.4	34.10083366415244	67.51592356687898	38.07303807303807	2519	157	3861	-640.17	-65.3	ACTR2	-0.15456445660468698
uc002tkx.3	32.19218050962848	67.5	35.710032747841616	5141	320	6718	-1221.47	-142.3	ACTR3	0.262988635539216
uc003wle.3	41.57575757575758	84.32835820895522	48.601083032490976	825	134	2216	-217.81	-78.3	ACTR3B	-0.18601497067217998
uc002xjd.3	45.88068181818182	78.37837837837837	53.1384015594542	704	37	2565	-223.64	-12.3	ACTR5	0.0762225411859951
uc001thb.3	31.10236220472441	52.41830065359478	40.13798701298701	508	765	2464	-111.32	-261.5	ACTR6	0.27580870738812496
uc003dhd.4	39.32244404113733	71.28712871287128	44.282171397079075	1653	101	3629	-489.6	-46.4	ACTR8	-0.0490480610545845
uc002tzn.4	37.07451701931922	51.860465116279066	44.60124712832293	1087	430	3047	-276.85	-138.0	ACVR1	0.49381130922296
uc001rzn.4	51.41509433962265	87.01298701298703	52.85996055226825	2968	77	4563	-1102.62	-45.0	ACVR1B	0.0588225338810049
uc002twh.5	33.605633802816904	57.232704402515715	38.669692737430175	3550	636	5728	-847.29	-247.85	ACVR2A	0.22316844355616502
uc003cif.4	41.906218144750255	79.4491525423729	45.681414431943146	9810	472	11821	-3062.1	-258.3	ACVR2B	-0.0731902830707352
uc059dmk.1	27.05314009661836	64.58333333333334	48.415716096324466	207	192	789	-35.3	-84.31	ACYP1	-0.767721703369626
uc002rxq.5	26.305220883534137	74.87179487179488	41.591137965760325	498	195	993	-92.9	-85.0	ACYP2	-0.260900565197274
uc002xmj.4	50.96153846153846	79.25925925925927	57.894736842105274	312	135	1539	-90.45	-65.1	ADA	0.16100548882736498
uc010udo.4	42.70353302611368	44.42508710801393	42.857142857142854	1953	574	3514	-611.23	-161.06	ADAL	-0.7023510895604649
uc002afd.3	35.835240274599535	68.91891891891892	38.255620680605375	8740	444	11431	-2318.31	-204.4	ADAM10	0.8859902231402809
uc001fgr.3	64.0625	80.1980198019802	62.66531027466938	256	101	2949	-116.3	-54.7	ADAM15	-0.284476256829156
uc002qzu.5	35.06800709639267	66.12021857923497	41.802713267417786	1691	183	4349	-432.28	-82.4	ADAM17	-0.24976832588054002
uc003lwz.5	50.31550068587105	74.68354430379746	53.741706526770564	3645	79	6481	-1359.08	-32.0	ADAM19	-0.11822695380265999
uc003ujo.4	37.433572991559856	73.06501547987618	40.74351832011999	6398	323	9334	-1762.53	-166.2	ADAM22	1.68294336322153
uc003xdy.4	35.02384048547898	58.18181818181818	38.20192853091322	4614	110	7052	-1109.84	-34.3	ADAM28	1.79370636142258
uc021qbe.2	56.175298804780866	76.47058823529412	63.76944190301921	753	51	3279	-291.42	-15.8	ADAM8	0.11163507721928301
uc002ymf.4	35.917030567685586	62.1978021978022	48.64188017722982	1832	455	5191	-495.96	-191.9	ADAMTS1	-1.8343582718571698
uc003jia.3	42.04763208321928	60.71428571428571	48.427171187599725	3653	336	8774	-1098.47	-140.7	ADAMTS12	0.177032372336314
uc003jdl.4	49.0566037735849	75.36231884057972	54.288009640490046	1166	138	4979	-404.31	-72.5	ADAMTS16	0.78974498540076
uc003hgk.2	32.76419012459621	51.35135135135135	41.42906217794573	2167	37	5822	-512.53	-3.7	ADAMTS3	1.6186029447768
uc003jtp.4	39.774193548387096	39.789964994165686	42.524962385446585	3100	857	7311	-832.48	-250.44	ADAMTS6	0.980439194450395
uc003dmg.4	36.93143245078072	73.46938775510205	48.399790136411326	1473	343	7624	-397.94	-187.3	ADAMTS9	0.5317346147280649
uc003zne.5	47.751873438801006	53.687315634218294	54.682440846824406	2402	339	8030	-823.29	-103.3	ADAMTSL1	1.0824661179961
uc009wlw.5	53.125	70.58823529411767	62.86177355869415	736	289	4319	-257.56	-149.8	ADAMTSL4	-0.0664057479455042
uc002ltd.2	50.55165496489469	68.46846846846847	62.26811340567029	997	444	2857	-292.03	-205.72	ADAMTSL5	-0.33513517264265
uc001ffh.4	46.7201166180758	74.5	50.02264150943397	2744	200	6625	-920.78	-103.6	ADAR	-0.0437034002982415
uc002zgt.3	50.88242035296814	66.10169491525424	53.06596919500145	4363	413	6882	-1633.68	-191.7	ADARB1	-0.0965596009496204
uc002feo.3	42.5233644859813	52.73972602739726	50.294275013376144	214	146	1869	-52.8	-43.5	ADAT1	-0.36531494094144895
uc003qjk.3	38.14597762386787	41.196581196581185	38.83626522327469	5631	585	6651	-1598.15	-159.3	ADAT2	-0.213117956924395
uc002luh.5	66.21621621621621	70.9090909090909	71.79012345679013	296	220	1620	-119.4	-92.3	ADAT3	-0.892860816263745
uc003vvy.2	50.314465408805034	79.7752808988764	59.907446360959185	318	178	2377	-123.2	-107.1	ADCK2	0.0203647189837559
uc001hqn.2	51.6728624535316	71.07438016528927	58.3217270194986	807	121	2872	-300.94	-50.5	ADCK3	-0.48371877867724
uc002oor.2	60.67193675889329	60.59602649006622	62.38231682357757	506	302	2443	-218.7	-101.8	ADCK4	-0.0466778642593448
uc003zch.5	69.1358024691358	72.72727272727273	65.21292970754233	162	44	1949	-85.6	-9.5	ADCK5	0.0720587024728201
uc002rfs.5	48.88597640891219	63.6150234741784	57.68316831683168	763	852	5050	-265.4	-392.65	ADCY3	0.5821048644100849
uc001rsh.5	54.641909814323604	50.21582733812949	56.68316831683168	2262	695	6464	-984.06	-248.9	ADCY6	0.26244523335195
uc059uak.1	44.232965359725924	66.4179104477612	54.024112088628215	2627	268	6138	-847.99	-117.4	ADCY7	0.0113992820885285
uc002cvx.4	52.048655569782326	80.14842300556586	57.06148867313915	3124	539	7725	-1134.05	-333.8	ADCY9	0.4511292365214051
uc003gfs.5	55.208884188260186	52.14368482039397	52.92009276829012	1891	863	4743	-700.55	-318.69	ADD1	0.29099914377429703
uc001kyw.4	30.919363122752948	64.38356164383562	39.6356928752594	1947	365	4337	-442.11	-170.8	ADD3	0.7731342905667099
uc003hui.5	36.13620569840167	74.50980392156862	41.03250478011472	1439	51	2615	-348.43	-10.5	ADH5	0.49097048324246007
uc002qxp.5	39.8876404494382	72.28915662650603	46.842325386867415	1602	249	2391	-464.5	-113.7	ADI1	-0.160355052285255
uc001gyq.7	40.8	72.2408026755853	51.17133670188333	750	299	2177	-207.1	-155.0	ADIPOR1	-0.6217434749359351
uc001qjm.4	45.39524174980814	65.73705179282868	47.33698357391737	2606	251	4018	-864.37	-93.63	ADIPOR2	-0.032312818343029
uc010qlc.3	28.688524590163933	70.57291666666666	41.71917191719172	854	384	2222	-157.27	-201.1	ADK	0.22237430133151104
uc001mil.2	49.47089947089947	62.52189141856393	57.61273209549071	756	571	1885	-262.31	-233.8	ADM	-0.3945005992088211
uc003blj.4	60.644614079728576	80.4794520547945	63.09635173058934	3537	292	4276	-1570.34	-122.3	ADM2	-0.992727467868528
uc002xvt.3	38.8205345778532	69.5798319327731	44.36990896023	2357	595	6261	-668.49	-236.1	ADNP	-0.0765891798754401
uc032hie.2	36.05706874189365	69.01098901098901	47.85833487854626	1542	455	5393	-406.87	-237.5	ADNP2	0.366402551711
uc001jmg.4	38.26120260436615	79.80295566502463	47.47725392886682	2611	203	3627	-730.38	-116.3	ADO	-0.22881164816394
uc001gzf.2	61.528239202657815	59.17480998914225	60.34634575873202	1505	921	3407	-717.6	-399.36	ADORA1	2.44997057559768
uc002zzy.6	55.56831228473018	67.75599128540306	60.52938886726353	871	459	2569	-351.8	-237.6	ADORA2A	0.695461446544951
uc002gpd.2	37.12871287128713	78.6144578313253	55.56195965417868	404	332	1735	-96.05	-199.1	ADORA2B	0.00674962482113273
uc002avf.5	41.769547325102884	71.27659574468085	50.52796245600313	972	94	2557	-270.1	-42.9	ADPGK	-0.0449275517790051
uc001vtp.2	53.17460317460318	54.54545454545454	55.03462972828982	882	176	1877	-302.26	-53.2	ADPRHL1	-0.719891929762845
uc001bzt.4	54.76190476190477	73.33333333333333	58.87290167865707	546	30	1668	-217.4	-7.7	ADPRHL2	-0.0327413419985492
uc003lxt.2	65.38461538461539	64.22764227642277	63.57882623705409	52	123	1738	-24.5	-45.7	ADRA1B	-0.43184441718146505
uc003lpr.3	38.76221498371336	54.631379962192824	51.17629973860007	614	1587	3443	-149.51	-620.25	ADRB2	0.34886505676141405
uc009yrn.2	63.20072332730561	87.93103448275862	63.58915175995384	1106	290	3466	-478.54	-197.1	ADRBK1	0.276709391967398
uc003abx.5	40.82407948568088	85.9375	42.667252554103044	6844	192	9103	-2160.39	-142.7	ADRBK2	0.80647384270199
uc061yhl.1	55.555555555555564	76.12903225806451	64.34370771312584	99	155	1478	-18.4	-76.9	ADRM1	-0.126964879723987
uc003ayp.5	42.35500878734622	67.79661016949152	45.30855700848819	2845	59	4359	-1079.15	-18.2	ADSL	0.12346909055679198
uc001iaj.4	31.41025641025641	76.02523659305994	42.01438848920864	1092	317	2780	-251.19	-188.0	ADSS	0.00479647755404056
uc001ref.2	30.036942313157144	76.92307692307693	38.164345950186316	3519	26	5099	-819.89	-3.8	AEBP2	0.126198772898806
uc002bmt.3	52.112676056338024	65.56291390728478	55.951235162014754	1988	151	3117	-790.54	-59.8	AEN	-0.653065705362651
uc002lxb.2	54.895489548954885	61.66666666666667	57.96178343949045	909	180	1884	-347.0	-62.2	AES	0.215512496388135
uc011bwk.2	49.46534653465346	79.12087912087912	52.33007209062822	5050	273	7768	-1739.75	-156.5	AFAP1	0.6444731172271171
uc003lqh.4	43.39729119638825	85.71428571428571	52.884845582954284	1772	98	4177	-560.5	-54.2	AFAP1L1	1.00260879006919
uc001lbo.5	36.37110016420361	80.39867109634552	52.648839556004035	1218	301	3964	-318.6	-176.6	AFAP1L2	0.677430557529354
uc003hqj.5	38.336143901068006	69.04761904761905	45.16506922257721	5337	420	9390	-1501.01	-211.62	AFF1	0.240524123011754
uc002tag.4	41.299193930772866	64.83050847457628	48.53103872157346	4218	236	8135	-1214.83	-84.49	AFF3	-0.9861112674491791
uc003kyd.4	35.721830985915496	73.94736842105263	41.09087102177554	5680	380	9552	-1535.21	-191.96	AFF4	-0.11421219421558501
uc002kqz.3	47.18196457326892	79.3103448275862	49.95380351093317	621	232	3247	-213.52	-135.3	AFG3L2	0.16527187685537803
uc002jva.3	48.82198952879581	64.81481481481481	53.35260115606936	764	54	1730	-244.13	-13.01	AFMID	-0.0360716413040896
uc002scz.4	31.28898128898129	67.05882352941175	41.308047653780704	962	340	4113	-219.46	-158.2	AFTPH	-0.37454466298948497
uc003iuu.3	31.76972281449893	68.75	41.19601328903654	938	128	2107	-205.21	-54.8	AGA	0.993083485473675
uc002vvs.4	50.36467830164104	83.44827586206897	53.99741506646972	7678	580	10832	-2763.58	-393.5	AGAP1	-0.124195481643626
uc057tfq.1	32.79742765273312	51.61744022503515	50.520446096654275	311	711	2690	-67.8	-235.67	AGAP6	-0.08039636506685001
uc002rie.4	47.058823529411754	74.84276729559748	55.5870317909978	357	159	3177	-117.3	-86.0	AGBL5	-0.34950912129417894
uc002vpc.3	33.17457955052836	81.92307692307692	37.425011536686654	6719	260	8668	-1695.85	-167.2	AGFG1	-0.140928869907079
uc003uvf.4	56.59851301115242	71.31147540983606	58.71559633027523	3228	122	4796	-1394.65	-54.0	AGFG2	-0.8161001275660601
uc003ket.4	33.29969727547931	66.75392670157068	40.18629407850965	1982	382	4509	-480.88	-175.1	AGGF1	0.32764208769112396
uc003vwi.3	39.48275862068965	68.07692307692308	44.27123928293063	2320	260	3849	-638.32	-105.3	AGK	0.4530539259765589
uc001dsj.2	28.746306458421273	42.05020920502093	36.6102605425732	2369	478	7446	-531.49	-129.6	AGL	0.45245413516370403
uc001awv.3	44.838212634822796	72.02797202797203	53.08000000000001	1298	143	2500	-678.57	-66.8	AGMAT	-0.26802052721033603
uc003oae.4	54.22932330827067	70.44025157232706	58.5496866606983	1064	318	2234	-372.59	-152.3	AGPAT1	-0.526816454664486
uc004cii.2	66.50246305418719	86.36363636363636	65.87301587301587	609	66	1512	-301.11	-28.1	AGPAT2	0.907198793194571
uc002zdw.4	53.7403474903475	64.43089430894308	55.34940176868389	4144	492	5767	-1583.89	-211.1	AGPAT3	0.597634474855798
uc003qtr.2	46.75364543361474	46.478873239436616	47.832167832167826	6515	213	7865	-2186.4	-60.3	AGPAT4	-0.39278044378573
uc003wqo.4	35.90869183494293	78.84615384615384	42.25237449118046	2278	312	3685	-597.87	-190.31	AGPAT5	0.134106547904564
